CELLCODE	EOFORIGIN	NOFORIGIN	geometry	natura2000	spa	habitat
1kmE3768N3188	3768000	3188000	list(c(3768000, 3768000, 3769000, 3769000, 3768000, 3188000, 3189000, 3189000, 3188000, 3188000))	FALSE	FALSE	FALSE
1kmE3768N3189	3768000	3189000	list(c(3768000, 3768000, 3769000, 3769000, 3768000, 3189000, 3190000, 3190000, 3189000, 3189000))	FALSE	FALSE	FALSE
1kmE3768N3190	3768000	3190000	list(c(3768000, 3768000, 3769000, 3769000, 3768000, 3190000, 3191000, 3191000, 3190000, 3190000))	FALSE	FALSE	FALSE
1kmE3769N3182	3769000	3182000	list(c(3769000, 3769000, 3770000, 3770000, 3769000, 3182000, 3183000, 3183000, 3182000, 3182000))	FALSE	FALSE	FALSE
1kmE3769N3183	3769000	3183000	list(c(3769000, 3769000, 3770000, 3770000, 3769000, 3183000, 3184000, 3184000, 3183000, 3183000))	FALSE	FALSE	FALSE
1kmE3769N3184	3769000	3184000	list(c(3769000, 3769000, 3770000, 3770000, 3769000, 3184000, 3185000, 3185000, 3184000, 3184000))	FALSE	FALSE	FALSE
1kmE3769N3185	3769000	3185000	list(c(3769000, 3769000, 3770000, 3770000, 3769000, 3185000, 3186000, 3186000, 3185000, 3185000))	FALSE	FALSE	FALSE
1kmE3769N3186	3769000	3186000	list(c(3769000, 3769000, 3770000, 3770000, 3769000, 3186000, 3187000, 3187000, 3186000, 3186000))	FALSE	FALSE	FALSE
1kmE3769N3187	3769000	3187000	list(c(3769000, 3769000, 3770000, 3770000, 3769000, 3187000, 3188000, 3188000, 3187000, 3187000))	FALSE	FALSE	FALSE
1kmE3769N3188	3769000	3188000	list(c(3769000, 3769000, 3770000, 3770000, 3769000, 3188000, 3189000, 3189000, 3188000, 3188000))	FALSE	FALSE	FALSE
1kmE3769N3189	3769000	3189000	list(c(3769000, 3769000, 3770000, 3770000, 3769000, 3189000, 3190000, 3190000, 3189000, 3189000))	FALSE	FALSE	FALSE
1kmE3769N3190	3769000	3190000	list(c(3769000, 3769000, 3770000, 3770000, 3769000, 3190000, 3191000, 3191000, 3190000, 3190000))	FALSE	FALSE	FALSE
1kmE3769N3191	3769000	3191000	list(c(3769000, 3769000, 3770000, 3770000, 3769000, 3191000, 3192000, 3192000, 3191000, 3191000))	FALSE	FALSE	FALSE
1kmE3769N3192	3769000	3192000	list(c(3769000, 3769000, 3770000, 3770000, 3769000, 3192000, 3193000, 3193000, 3192000, 3192000))	FALSE	FALSE	FALSE
1kmE3769N3193	3769000	3193000	list(c(3769000, 3769000, 3770000, 3770000, 3769000, 3193000, 3194000, 3194000, 3193000, 3193000))	FALSE	FALSE	FALSE
1kmE3769N3194	3769000	3194000	list(c(3769000, 3769000, 3770000, 3770000, 3769000, 3194000, 3195000, 3195000, 3194000, 3194000))	FALSE	FALSE	FALSE
1kmE3769N3195	3769000	3195000	list(c(3769000, 3769000, 3770000, 3770000, 3769000, 3195000, 3196000, 3196000, 3195000, 3195000))	FALSE	FALSE	FALSE
1kmE3770N3177	3770000	3177000	list(c(3770000, 3770000, 3771000, 3771000, 3770000, 3177000, 3178000, 3178000, 3177000, 3177000))	FALSE	FALSE	FALSE
1kmE3770N3178	3770000	3178000	list(c(3770000, 3770000, 3771000, 3771000, 3770000, 3178000, 3179000, 3179000, 3178000, 3178000))	FALSE	FALSE	FALSE
1kmE3770N3179	3770000	3179000	list(c(3770000, 3770000, 3771000, 3771000, 3770000, 3179000, 3180000, 3180000, 3179000, 3179000))	FALSE	FALSE	FALSE
1kmE3770N3180	3770000	3180000	list(c(3770000, 3770000, 3771000, 3771000, 3770000, 3180000, 3181000, 3181000, 3180000, 3180000))	FALSE	FALSE	FALSE
1kmE3770N3181	3770000	3181000	list(c(3770000, 3770000, 3771000, 3771000, 3770000, 3181000, 3182000, 3182000, 3181000, 3181000))	FALSE	FALSE	FALSE
1kmE3770N3182	3770000	3182000	list(c(3770000, 3770000, 3771000, 3771000, 3770000, 3182000, 3183000, 3183000, 3182000, 3182000))	FALSE	FALSE	FALSE
1kmE3770N3183	3770000	3183000	list(c(3770000, 3770000, 3771000, 3771000, 3770000, 3183000, 3184000, 3184000, 3183000, 3183000))	FALSE	FALSE	FALSE
1kmE3770N3184	3770000	3184000	list(c(3770000, 3770000, 3771000, 3771000, 3770000, 3184000, 3185000, 3185000, 3184000, 3184000))	FALSE	FALSE	FALSE
1kmE3770N3185	3770000	3185000	list(c(3770000, 3770000, 3771000, 3771000, 3770000, 3185000, 3186000, 3186000, 3185000, 3185000))	FALSE	FALSE	FALSE
1kmE3770N3186	3770000	3186000	list(c(3770000, 3770000, 3771000, 3771000, 3770000, 3186000, 3187000, 3187000, 3186000, 3186000))	FALSE	FALSE	FALSE
1kmE3770N3187	3770000	3187000	list(c(3770000, 3770000, 3771000, 3771000, 3770000, 3187000, 3188000, 3188000, 3187000, 3187000))	FALSE	FALSE	FALSE
1kmE3770N3188	3770000	3188000	list(c(3770000, 3770000, 3771000, 3771000, 3770000, 3188000, 3189000, 3189000, 3188000, 3188000))	FALSE	FALSE	FALSE
1kmE3770N3189	3770000	3189000	list(c(3770000, 3770000, 3771000, 3771000, 3770000, 3189000, 3190000, 3190000, 3189000, 3189000))	FALSE	FALSE	FALSE
1kmE3770N3190	3770000	3190000	list(c(3770000, 3770000, 3771000, 3771000, 3770000, 3190000, 3191000, 3191000, 3190000, 3190000))	FALSE	FALSE	FALSE
1kmE3770N3191	3770000	3191000	list(c(3770000, 3770000, 3771000, 3771000, 3770000, 3191000, 3192000, 3192000, 3191000, 3191000))	FALSE	FALSE	FALSE
1kmE3770N3192	3770000	3192000	list(c(3770000, 3770000, 3771000, 3771000, 3770000, 3192000, 3193000, 3193000, 3192000, 3192000))	FALSE	FALSE	FALSE
1kmE3770N3193	3770000	3193000	list(c(3770000, 3770000, 3771000, 3771000, 3770000, 3193000, 3194000, 3194000, 3193000, 3193000))	FALSE	FALSE	FALSE
1kmE3770N3194	3770000	3194000	list(c(3770000, 3770000, 3771000, 3771000, 3770000, 3194000, 3195000, 3195000, 3194000, 3194000))	FALSE	FALSE	FALSE
1kmE3770N3195	3770000	3195000	list(c(3770000, 3770000, 3771000, 3771000, 3770000, 3195000, 3196000, 3196000, 3195000, 3195000))	FALSE	FALSE	FALSE
1kmE3770N3196	3770000	3196000	list(c(3770000, 3770000, 3771000, 3771000, 3770000, 3196000, 3197000, 3197000, 3196000, 3196000))	FALSE	FALSE	FALSE
1kmE3770N3197	3770000	3197000	list(c(3770000, 3770000, 3771000, 3771000, 3770000, 3197000, 3198000, 3198000, 3197000, 3197000))	FALSE	FALSE	FALSE
1kmE3770N3198	3770000	3198000	list(c(3770000, 3770000, 3771000, 3771000, 3770000, 3198000, 3199000, 3199000, 3198000, 3198000))	FALSE	FALSE	FALSE
1kmE3770N3199	3770000	3199000	list(c(3770000, 3770000, 3771000, 3771000, 3770000, 3199000, 3200000, 3200000, 3199000, 3199000))	FALSE	FALSE	FALSE
1kmE3771N3173	3771000	3173000	list(c(3771000, 3771000, 3772000, 3772000, 3771000, 3173000, 3174000, 3174000, 3173000, 3173000))	FALSE	FALSE	FALSE
1kmE3771N3174	3771000	3174000	list(c(3771000, 3771000, 3772000, 3772000, 3771000, 3174000, 3175000, 3175000, 3174000, 3174000))	FALSE	FALSE	FALSE
1kmE3771N3175	3771000	3175000	list(c(3771000, 3771000, 3772000, 3772000, 3771000, 3175000, 3176000, 3176000, 3175000, 3175000))	FALSE	FALSE	FALSE
1kmE3771N3176	3771000	3176000	list(c(3771000, 3771000, 3772000, 3772000, 3771000, 3176000, 3177000, 3177000, 3176000, 3176000))	FALSE	FALSE	FALSE
1kmE3771N3177	3771000	3177000	list(c(3771000, 3771000, 3772000, 3772000, 3771000, 3177000, 3178000, 3178000, 3177000, 3177000))	FALSE	FALSE	FALSE
1kmE3771N3178	3771000	3178000	list(c(3771000, 3771000, 3772000, 3772000, 3771000, 3178000, 3179000, 3179000, 3178000, 3178000))	FALSE	FALSE	FALSE
1kmE3771N3179	3771000	3179000	list(c(3771000, 3771000, 3772000, 3772000, 3771000, 3179000, 3180000, 3180000, 3179000, 3179000))	FALSE	FALSE	FALSE
