"","Soort","Buffer","Gebied","Overlap"
"1","watercrassula",10,"Antwerpse Kempen",0.372262976245158
"2","watercrassula",10,"Brabantse Wouden",0.0105785314311605
"3","watercrassula",10,"Demerland & Zuiderkempen",0.024467963390423
"4","watercrassula",10,"Groene Gordels",0.0339327707571684
"5","watercrassula",10,"Hoge Kempen tot Voeren",0.00110138177177615
"6","watercrassula",10,"Kust & Westhoek",0.115134562929897
"7","watercrassula",10,"Lage tot aan Hoge Kempen",0.00982830740122522
"8","watercrassula",10,"Taxandria",0.264139670941438
"9","watercrassula",10,"Vlaamse Ardennen & Schelde-Leie",0.0109185388970421
"10","watercrassula",10,"Zandig Vlaanderen",0.110275880048173
"11","struikaster",10,"Groene Gordels",0.0219854247904378
"12","struikaster",10,"Kust & Westhoek",0.896813415027186
"13","struikaster",10,"Vlaamse Ardennen & Schelde-Leie",0.022393606060399
"14","struikaster",10,"Zandig Vlaanderen",0.0588075541219776
"15","reuzenberenklauw",10,"Antwerpse Kempen",0.100496981113762
"16","reuzenberenklauw",10,"Brabantse Wouden",0.0815642886093806
"17","reuzenberenklauw",10,"Demerland & Zuiderkempen",0.0739878778466122
"18","reuzenberenklauw",10,"Groene Gordels",0.198079069441493
"19","reuzenberenklauw",10,"Hoge Kempen tot Voeren",0.0471825248256318
"20","reuzenberenklauw",10,"Kust & Westhoek",0.140072775801213
"21","reuzenberenklauw",10,"Lage tot aan Hoge Kempen",0.0483652485352954
"22","reuzenberenklauw",10,"Taxandria",0.0328270358427128
"23","reuzenberenklauw",10,"Vlaamse Ardennen & Schelde-Leie",0.170628465876617
"24","reuzenberenklauw",10,"Zandig Vlaanderen",0.091190056781158
"25","Chinese muntjak",10,"Antwerpse Kempen",0.348462619153106
"26","Chinese muntjak",10,"Demerland & Zuiderkempen",0.0151340642147051
"27","Chinese muntjak",10,"Groene Gordels",0.466953863849171
"28","Chinese muntjak",10,"Taxandria",0.0439458961517724
"29","Chinese muntjak",10,"Vlaamse Ardennen & Schelde-Leie",0.0817907306336682
