Soort,nNBHP,nBosbeU,nBosreA,nHarmPG,nMilDom,nNatres,nType1,nType2,nType3,nType4,nVNatre,nBosreE,inNBHP,inAndere,inBestuur,inNatPer,inPrivRec,inVOANB,inVOander
Chinese wolhandkrab,180,36,1,2,2,5,14,18,20,72,10,0,0.129,0.007,0.137,0.077,0.39,0.328,0.061
heilige ibis,54,3,0,1,2,3,2,0,10,32,1,0,0.325,0,0.082,0.011,0.511,0.334,0.061
nijlgans,1452,260,11,8,10,37,260,197,218,412,35,4,0.113,0.003,0.131,0.092,0.37,0.374,0.03
invasieve duizendknopen,1148,217,6,7,9,25,176,161,164,354,29,0,0.118,0.003,0.201,0.135,0.305,0.315,0.04
reuzenbalsemien,874,169,3,3,9,15,125,111,139,274,26,0,0.138,0.005,0.138,0.127,0.393,0.296,0.041
boksdoorn,45,5,0,0,1,0,3,6,12,15,3,0,0.201,0,0.166,0.007,0.21,0.537,0.08
rimpelroos,465,102,1,5,4,6,50,76,67,139,14,1,0.111,0.003,0.206,0.066,0.262,0.422,0.042
mahonie,540,119,2,4,4,7,82,75,73,163,11,0,0.101,0.004,0.292,0.091,0.272,0.314,0.027
reuzenberenklauw,665,133,2,5,7,14,81,81,101,223,17,1,0.109,0.004,0.198,0.107,0.341,0.302,0.047
vijfbladige wingerd,71,20,0,0,2,0,6,8,8,26,1,0,0.112,0,0.238,0.073,0.356,0.315,0.019
struikaster,40,4,0,0,2,0,2,7,8,13,4,0,0.215,0,0.148,0.017,0.257,0.533,0.045
hemelboom,161,40,0,6,3,3,15,31,17,42,4,0,0.071,0,0.346,0.092,0.226,0.294,0.041
Canadese gans,1211,217,7,6,10,28,161,175,198,377,31,1,0.140,0.004,0.136,0.078,0.371,0.381,0.03
smalle waterpest,210,43,1,1,5,2,12,24,29,84,9,0,0.294,0.003,0.082,0.087,0.504,0.283,0.041
watercrassula,245,51,1,1,5,1,7,37,41,93,8,0,0.308,0,0.127,0.069,0.299,0.489,0.014
grote waternavel,156,34,0,2,3,2,9,18,21,62,5,0,0.141,0.001,0.142,0.071,0.45,0.217,0.119
sneeuwbes,619,125,5,6,7,8,68,93,91,201,15,0,0.140,0.001,0.256,0.095,0.248,0.379,0.021
verspreidbladige waterpest,14,1,0,0,0,0,2,0,2,7,2,0,0.142,0,0.171,0.019,0.204,0.606,0
zonnebaars,198,36,0,2,3,3,11,34,26,77,6,0,0.247,0.003,0.151,0.073,0.403,0.337,0.033
muskusrat,234,41,0,0,2,7,12,26,45,90,11,0,0.090,0,0.068,0.048,0.441,0.352,0.091
rosse stekelstaart,31,1,0,1,1,0,0,6,7,14,1,0,0.465,0.004,0.095,0,0.466,0.426,0.008
parelvederkruid,198,40,1,0,4,5,19,28,19,78,4,0,0.190,0.002,0.182,0.065,0.474,0.242,0.036
Chinese muntjak,53,14,0,0,3,0,8,9,5,12,2,0,0.206,0,0.178,0.297,0.107,0.403,0.016
Japans hoefblad,36,12,0,0,1,0,2,7,3,11,0,0,0.099,0,0.522,0.195,0.176,0.057,0.05
Siberische grondeekhoorn,17,5,1,1,1,0,1,0,3,3,2,0,0.727,0,0.113,0.014,0.016,0.858,0
blauwbandgrondel,188,31,2,2,2,12,9,21,27,78,4,0,0.163,0.004,0.092,0.035,0.513,0.273,0.082
lettersierschildpad,382,81,0,5,5,11,15,58,66,127,14,0,0.251,0.002,0.241,0.038,0.391,0.283,0.044
