soort,species,abbr,inSBP  Beekprik,inSBP  Kleine Modderkruiper,inSBP  Rivierdonderpad,ofSBP  Beekprik,ofSBP  Kleine Modderkruiper,ofSBP  Rivierdonderpad,selSBP  Beekprik,selSBP  Kleine Modderkruiper,selSBP  Rivierdonderpad
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,0.001431,0.001174,0.002555,0.000274,0.000225,0.000489,0.509361,0.417810,0.909331
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,0.001954,0.003172,0.002677,0.058458,0.094887,0.080090,0.695584,1.129050,0.952977
rimpelroos,Rosa rugosa Thunb.,Rr,0.002199,0.003083,0.002881,0.004919,0.006897,0.006446,0.782610,1.097248,1.025430
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,0.002891,0.002030,0.001774,0.034593,0.024290,0.021223,1.028996,0.722521,0.631283
reuzenberenklauw,Heracleum mantegazzianum Sommier & Levier,Hm,0.004185,0.003573,0.005463,0.011785,0.010062,0.015382,1.489719,1.271929,1.944359
Canadese gans,"Branta canadensis (Linnaeus, 1758)",Bc,0.002250,0.004382,0.003374,0.046169,0.089927,0.069230,0.800835,1.559838,1.200827
verspreidbladige waterpest,Lagarosiphon major (Ridley) Moss,Lm,0,0,0,0,0,0,0,0,0
zonnebaars,"Lepomis gibbosus Linnaeus, 1758",Lgi,0.012283,0.019803,0.012510,0.004355,0.007021,0.004436,4.372168,7.048803,4.452770
rosse stekelstaart,"Oxyura jamaicensis Gmelin, 1789",Oj,0,0.006195,0,0,0.000669,0,0,2.204894,0
sneeuwbes,Symphoricarpos albus (L.) K.Koch,Sa,0.002256,0.001958,0.003275,0.003545,0.003077,0.005147,0.803000,0.697102,1.165802
parelvederkruid,Myriophyllum aquaticum (Vell.) Verdc.,Mya,0.009787,0.011981,0.005815,0.003728,0.004564,0.002215,3.483600,4.264372,2.069721
late guldenroede,Solidago gigantea Aiton,Sg,0.003062,0.007051,0.006870,0.010082,0.023216,0.022621,1.089941,2.509737,2.445379
smalle waterpest,Elodea nuttallii (Planch.) St. John,En,0.012099,0.009266,0.009004,0.005274,0.004040,0.003925,4.306637,3.298316,3.204915
mahonie,Mahonia aquifolium (Pursh) Nutt.,Maa,0.000714,0.001054,0.000861,0.001382,0.002040,0.001666,0.254165,0.375013,0.306337
grote waternavel,Hydrocotyle ranunculoides L. f.,Hr,0.010210,0.008451,0.007405,0.007222,0.005978,0.005238,3.634175,3.008043,2.635573
Chinese muntjak,"Muntiacus reevesi Ogilby, 1839",Mr,0.000602,0.000805,0.001568,0.000101,0.000135,0.000262,0.214246,0.286609,0.558071
Japans hoefblad,Petasites japonicus (Siebold & Zucc.) Maxim.,Pj,0.001731,0.004052,0,0.000143,0.000335,0,0.616263,1.442205,0
hemelboom,Ailanthus altissima (Mill.) Swingle,Aal,0.000194,0.001617,0.001546,0.000160,0.001334,0.001275,0.069008,0.575612,0.550271
Amerikaanse nerts,"Mustela vison Schreber, 1777",Mvis,0.005118,0,0,0.000146,0,0,1.821659,0,0
Amerikaanse hondsvis,"Umbra pygmaea (DeKay, 1842)",Up,0.024172,0.018323,0.012528,0.001311,0.000994,0.000680,8.603668,6.521748,4.459120
Chinese wolhandkrab,"Eriocheir sinensis H. Milne Edwards, 1854",Es,0.006246,0.013201,0.008848,0.003607,0.007624,0.005110,2.223084,4.698606,3.149467
invasieve duizendknopen,"Reynoutria japonica Houtt.,Reynoutria sachalinensis (F.Schmidt) Nakai,Reynoutria ×bohemica Chrtek & Chrtková",Rj,0.003135,0.003674,0.005159,0.022912,0.026848,0.037700,1.116003,1.307681,1.836260
Siberische grondeekhoorn,"Tamias sibiricus Laxmann, 1769",Tsi,0,0,0,0,0,0,0,0,0
boksdoorn,Lycium barbarum L.,Lb,0,0.000046,0,0,0.000013,0,0,0.016522,0
muskusrat,"Ondatra zibethicus Linnaeus, 1766",Oz,0.003645,0.004510,0.007947,0.015555,0.019244,0.033911,1.297530,1.605198,2.828679
lettersierschildpad,"Trachemys scripta Schoepff, 1792",Tsc,0.002771,0.004285,0.003795,0.002376,0.003673,0.003253,0.986469,1.525269,1.350785
smalle olijfwilg,Elaeagnus angustifolia L.,Ea,0,0,0,0,0,0,0,0,0
watercrassula,Crassula helmsii (Kirk) Cockayne,Ch,0.001019,0.003324,0.000819,0.000770,0.002513,0.000619,0.362716,1.183142,0.291515
Canadese guldenroede,Solidago canadensis L.,Sc,0.001888,0.003227,0.004439,0.001167,0.001994,0.002743,0.672182,1.148590,1.579969
reuzenbalsemien,Impatiens glandulifera Royle,Ig,0.010261,0.007620,0.012442,0.061468,0.045648,0.074536,3.652209,2.712240,4.428719
Chinese prachtslang,"Elaphe taeniura (Cope, 1861)",Et,0,0,0,0,0,0,0,0,0
gevlekte Amerikaanse rivierkreeft,"Faxonius limosus Rafinesque, 1817",Fl,0.011535,0.016767,0.011216,0.002983,0.004336,0.002900,4.105754,5.968124,3.992236
blauwbandgrondel,"Pseudorasbora parva Temminck & Schlegel, 1846",Pp,0.006839,0.014088,0.011936,0.002073,0.004271,0.003619,2.434130,5.014324,4.248458
struikaster,Baccharis halimifolia L.,Bh,0,0.000695,0,0,0.000101,0,0,0.247410,0
zwartbekgrondel,"Neogobius melanostomus (Pallas, 1814)",Nm,0.006719,0.011775,0.010832,0.001209,0.002118,0.001949,2.391500,4.191020,3.855375
Amerikaanse stierkikker,"Lithobates (Rana) catesbeianus Shaw, 1802",Lc,0.022547, 0.036745,0.022964,0.005430, 0.008849,0.005531,8.025209,13.078875,8.173872
beverrat,"Myocastor coypus Molina, 1782",Mc,0.009402,0.007082,0.011162,0.000923,0.000696,0.001096,3.346525,2.520846,3.972970
moerashyacint,Pontederia cordata L.,Pco,0.017180,0.011392,0.009165,0.002439,0.001617,0.001301,6.115194,4.054985,3.262095
vijfbladige wingerd,Parthenocissus quinquefolia (L.) Planch.,Pq,0.002222,0.001709,0.001226,0.000204,0.000157,0.000113,0.790964,0.608229,0.436478
valse wingerd,Parthenocissus inserta (A.Kern.) Fritsch,Pi,0.000526,0.002129,0.002613,0.000105,0.000425,0.000521,0.187158,0.757714,0.930180
Afghaanse duizendknoop,Koenigia polystachya (Wall. ex Meisn.) T.M.Schust. & Reveal,Kp,0.007408,0,0.000124,0.000256,0,0.000004,2.636693,0,0.043972
grote waterteunisbloem,Ludwigia grandiflora (Michx.) Greuter & Burdet,Lgr,0.018824, 0.032588,0.024426,0.014988, 0.025948,0.019449,6.700056,11.599519,8.694177
wasbeer,"Procyon lotor L., 1758",Plo,0.008546,0.009763,0.017250,0.000998,0.001140,0.002014,3.042002,3.474997,6.139999
