Soort,inVGLRL,inBE2100424,inBE2101437,inBE2101538,inBE2200626,inBE2219312,inBE2221314,inBE2223316,inBE2301134,inBE2301235,inBE2301336,inBE2500932,inBE2100323,inBE2101639,inBE2200525,inBE2200727,inBE2217310,inBE2218311,inBE2220313,inBE2300222,inBE2422315,inBE2500121,inBE2500831,inBE2501033,inBE2524317,ofVGLRL,ofBE2100424,ofBE2101437,ofBE2101538,ofBE2200626,ofBE2219312,ofBE2221314,ofBE2223316,ofBE2301134,ofBE2301235,ofBE2301336,ofBE2500932,ofBE2100323,ofBE2101639,ofBE2200525,ofBE2200727,ofBE2217310,ofBE2218311,ofBE2220313,ofBE2300222,ofBE2422315,ofBE2500121,ofBE2500831,ofBE2501033,ofBE2524317
heilige ibis,0.445,0.001,0.004,0.031,0.009,0.088,0.021,0.139,0.002,0.020,0.123,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0.005,0.001,0.003,0.011,0.025,0.001,0.015,0.002,0.003,0.012,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0
nijlgans,0.160,0.001,0.005,0.009,0.001,0.005,0.013,0.018,0.005,0.015,0.016,0.032,0.004,0.004,0.001,0.003,0.002,0.002,0.002,0.001,0.005,0.000,0.010,0.006,0.000,0.179,0.643,0.145,0.148,0.260,0.214,0.108,0.300,0.640,0.395,0.244,0.361,0.206,0.076,0.175,0.146,0.023,0.027,0.072,0.593,0.454,0.038,0.209,0.322,0.055
rimpelroos,0.106,0,0.001,0.001,0.001,0.001,0.003,0.003,0.000,0.005,0.009,0.006,0,0.010,0,0,0.002,0.001,0,0.000,0.000,0.041,0.001,0.017,0.004,0.008,0,0.001,0.001,0.008,0.003,0.002,0.003,0.003,0.009,0.009,0.005,0,0.014,0,0,0.001,0.001,0,0.004,0.003,0.270,0.002,0.067,0.058
Amerikaanse vogelkers,0.136,0.000,0.007,0.008,0.005,0.009,0.016,0.015,0,0.005,0.000,0.000,0.009,0.010,0.005,0.007,0.009,0.014,0.004,0.001,0.001,0.010,0.000,0.002,0,0.055,0.045,0.066,0.047,0.320,0.141,0.048,0.089,0,0.043,0.001,0.001,0.166,0.073,0.237,0.113,0.038,0.063,0.053,0.116,0.035,0.354,0.002,0.043,0
reuzenberenklauw,0.052,0,0.003,0.001,0.000,0,0.003,0.008,0.001,0.008,0.001,0.008,0.000,0.000,0.001,0,0.004,0.007,0.000,0,0.001,0.002,0.002,0.001,0,0.005,0,0.007,0.002,0.003,0,0.002,0.013,0.007,0.018,0.002,0.008,0.002,0.001,0.013,0,0.004,0.008,0.001,0,0.010,0.017,0.003,0.006,0
Canadese gans,0.204,0.001,0.006,0.011,0.002,0.006,0.009,0.021,0.005,0.024,0.03,0.039,0.008,0.005,0.002,0.002,0.002,0.003,0.001,0.002,0.006,0.001,0.010,0.008,0.000,0.155,0.658,0.118,0.121,0.270,0.184,0.049,0.237,0.509,0.430,0.32,0.298,0.258,0.068,0.176,0.052,0.012,0.025,0.033,0.663,0.368,0.063,0.144,0.310,0.051
verspreidbladige waterpest,0.038,0,0,0,0,0,0,0.038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zonnebaars,0.206,0.003,0.009,0.017,0.014,0,0.020,0.043,0,0.034,0.001,0,0,0.030,0.023,0,0.003,0.005,0,0,0.003,0,0,0,0,0.002,0.036,0.002,0.003,0.026,0,0.002,0.007,0,0.008,0.000,0,0,0.006,0.031,0,0.000,0.001,0,0,0.003,0,0,0,0
rosse stekelstaart,0.471,0,0,0,0,0.021,0.015,0,0,0.020,0.117,0.026,0.062,0,0,0,0,0,0,0.079,0,0,0.126,0.008,0,0.002,0,0,0,0,0.003,0.000,0,0,0.002,0.007,0.001,0.012,0,0,0,0,0,0,0.168,0,0,0.010,0.002,0
sneeuwbes,0.066,0,0.001,0.002,0.001,0.004,0.004,0.010,0.000,0.008,0.002,0.001,0.001,0.005,0.003,0,0.004,0.004,0.000,0,0.001,0.011,0.002,0.002,0,0.004,0,0.001,0.002,0.013,0.008,0.002,0.009,0.003,0.011,0.001,0.001,0.001,0.005,0.023,0,0.002,0.002,0.001,0,0.004,0.054,0.002,0.004,0
parelvederkruid,0.168,0,0.002,0.006,0.006,0.017,0.026,0.077,0,0,0,0,0.002,0,0.015,0,0.014,0.005,0,0,0,0,0,0,0,0.002,0,0.001,0.001,0.014,0.009,0.003,0.016,0,0,0,0,0.001,0,0.026,0,0.002,0.001,0,0,0,0,0,0,0
late guldenroede,0.079,0.000,0.001,0.007,0.002,0.003,0.010,0.008,0,0.011,0.003,0,0.002,0.007,0.001,0.001,0.003,0.008,0.001,0.001,0.007,0.002,0,0.002,0,0.008,0.036,0.002,0.011,0.029,0.014,0.008,0.013,0,0.026,0.004,0,0.009,0.013,0.011,0.003,0.003,0.009,0.004,0.056,0.060,0.022,0,0.010,0
smalle waterpest,0.230,0.004,0,0.002,0.003,0.018,0.061,0.063,0,0.005,0.004,0.010,0,0.013,0,0,0.006,0.002,0,0.002,0.004,0,0.034,0,0,0.004,0.071,0,0.001,0.009,0.011,0.007,0.015,0,0.002,0.001,0.002,0,0.004,0,0,0.001,0.000,0,0.013,0.005,0,0.010,0,0
mahonie,0.087,0,0,0.004,0.001,0.002,0.005,0.004,0,0.004,0.002,0.001,0,0.001,0.001,0.001,0.006,0.003,0,0,0.001,0.052,0.000,0,0,0.006,0,0,0.004,0.016,0.005,0.003,0.005,0,0.007,0.002,0.000,0,0.002,0.008,0.003,0.004,0.002,0,0,0.004,0.334,0.001,0,0
grote waternavel,0.181,0,0.001,0,0,0.005,0.037,0.104,0,0.007,0,0.010,0,0,0.003,0,0.004,0.003,0,0,0.005,0.001,0.001,0,0,0.005,0,0.000,0,0,0.005,0.007,0.040,0,0.004,0,0.002,0,0,0.010,0,0.001,0.001,0,0,0.010,0.002,0.001,0,0
Chinese muntjak,0.041,0,0.016,0.008,0,0,0.005,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0.002,0.001,0,0,0.000,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Japans hoefblad,0.027,0,0,0,0,0,0,0,0,0.010,0,0,0.003,0,0,0,0,0.014,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0.001,0,0,0.000,0,0,0,0,0.000,0,0,0,0,0,0,0
hemelboom,0.023,0,0,0,0,0,0,0.002,0,0.004,0.002,0,0,0.001,0,0,0.001,0.005,0,0.000,0,0.009,0,0,0,0.001,0,0,0,0,0,0,0.001,0,0.003,0.001,0,0,0.000,0,0,0.000,0.001,0,0.001,0,0.023,0,0,0
Amerikaanse hondsvis,0.435,0.049,0,0,0.040,0.020,0.061,0.040,0,0,0,0,0,0.063,0.10,0.040,0,0.02,0,0,0,0,0,0,0,0.001,0.089,0,0,0.011,0.001,0.001,0.001,0,0,0,0,0,0.002,0.02,0.003,0,0.00,0,0,0,0,0,0,0
Chinese wolhandkrab,0.179,0.003,0,0,0,0,0,0.048,0.003,0.060,0.021,0.016,0,0,0,0,0,0,0,0,0.003,0.001,0.022,0.001,0,0.004,0.080,0,0,0,0,0,0.016,0.008,0.031,0.006,0.004,0,0,0,0,0,0,0,0,0.005,0.002,0.009,0.002,0
invasieve duizendknopen,0.072,0,0.002,0.005,0.001,0.005,0.006,0.012,0.000,0.011,0.005,0.002,0.002,0.003,0.001,0,0.004,0.006,0.001,0.001,0.003,0.000,0.001,0.001,0,0.019,0,0.011,0.019,0.058,0.046,0.012,0.047,0.002,0.069,0.018,0.006,0.024,0.015,0.024,0,0.010,0.016,0.009,0.153,0.064,0.004,0.004,0.010,0
Siberische grondeekhoorn,0.105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024,0,0,0
boksdoorn,0.078,0,0,0,0,0,0,0,0,0.002,0,0.012,0,0,0,0,0,0,0,0,0,0.049,0,0.016,0,0.001,0,0,0,0,0,0,0,0,0.000,0,0.001,0,0,0,0,0,0,0,0,0,0.044,0,0.008,0
muskusrat,0.174,0,0.001,0,0.004,0,0.011,0.006,0.028,0.001,0.000,0.035,0,0.003,0,0,0,0.001,0,0,0.027,0,0.050,0.006,0,0.026,0,0.003,0,0.118,0,0.013,0.013,0.542,0.003,0.001,0.054,0,0.008,0,0,0,0.001,0,0,0.322,0,0.146,0.047,0
lettersierschildpad,0.124,0.001,0.004,0.006,0.003,0.008,0.011,0.033,0,0.023,0.004,0.002,0.005,0.003,0.001,0.001,0.002,0.002,0,0.002,0.007,0.001,0.008,0,0,0.004,0.024,0.003,0.003,0.020,0.010,0.003,0.017,0,0.018,0.002,0.001,0.007,0.002,0.004,0.001,0.001,0.001,0,0.028,0.017,0.002,0.005,0,0
smalle olijfwilg,0.238,0,0,0,0,0,0,0,0,0,0.203,0.016,0,0,0,0,0,0,0,0.003,0,0.006,0,0.008,0,0.002,0,0,0,0,0,0,0,0,0,0.023,0.001,0,0,0,0,0,0,0,0.014,0,0.005,0,0.003,0
watercrassula,0.320,0.005,0.012,0.038,0.003,0.012,0.037,0.019,0.002,0.008,0.140,0.002,0.005,0.003,0.003,0,0,0.005,0.001,0.002,0.004,0,0.010,0.009,0,0.009,0.167,0.008,0.014,0.012,0.012,0.007,0.008,0.006,0.005,0.052,0.001,0.006,0.002,0.011,0,0,0.001,0.001,0.025,0.008,0,0.005,0.013,0
Amerikaanse nerts,0.139,0,0,0,0,0,0,0,0,0.032,0,0.092,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.000,0,0,0,0,0,0,0,0,0.001,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0.003
Canadese guldenroede,0.107,0,0,0.002,0,0.010,0.014,0.016,0,0.002,0.007,0,0.005,0.003,0.001,0,0.010,0.008,0.002,0,0.023,0.001,0,0.003,0,0.002,0,0,0.001,0,0.009,0.002,0.005,0,0.001,0.002,0,0.005,0.001,0.004,0,0.002,0.002,0.001,0,0.040,0.002,0,0.004,0
reuzenbalsemien,0.120,0,0.000,0.004,0.000,0.007,0.007,0.020,0,0.035,0.001,0.001,0,0.003,0.000,0,0.012,0.010,0.000,0,0.017,0.000,0.002,0,0,0.025,0,0.001,0.011,0.006,0.058,0.011,0.064,0,0.171,0.001,0.003,0,0.012,0.008,0,0.025,0.022,0.003,0,0.271,0.005,0.006,0,0
Chinese prachtslang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gevlekte Amerikaanse rivierkreeft,0.154,0,0,0.017,0.013,0.029,0.014,0.027,0,0.018,0,0,0,0.032,0,0,0.004,0,0,0,0,0,0,0,0,0.001,0,0,0.002,0.017,0.008,0.001,0.003,0,0.003,0,0,0,0.004,0,0,0.000,0,0,0,0,0,0,0,0
blauwbandgrondel,0.160,0.010,0,0,0,0.016,0.016,0.052,0,0.008,0.012,0.016,0.006,0,0.008,0,0,0,0,0,0.016,0,0,0,0,0.001,0.086,0,0,0,0.005,0.001,0.006,0,0.002,0.001,0.001,0.002,0,0.008,0,0,0,0,0,0.010,0,0,0,0
struikaster,0.135,0,0,0,0,0,0,0,0,0,0,0.024,0,0.006,0,0,0,0,0,0,0,0.073,0,0.024,0.007,0.001,0,0,0,0,0,0,0,0,0,0,0.001,0,0.001,0,0,0,0,0,0,0,0.034,0,0.006,0.007
zwartbekgrondel,0.05,0,0,0.002,0,0,0.002,0,0,0.007,0.026,0.001,0,0.011,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0.000,0,0,0.000,0,0,0.001,0.002,0.000,0,0.001,0,0,0,0,0,0,0,0,0,0,0
Amerikaanse stierkikker,0.063,0.006,0,0.004,0,0,0.004,0.023,0,0,0.008,0,0,0,0,0,0,0,0,0,0.020,0,0,0,0,0.001,0.054,0,0.000,0,0,0.000,0.003,0,0,0.001,0,0,0,0,0,0,0,0,0,0.013,0,0,0,0
beverrat,0.243,0,0,0.017,0,0.010,0.160,0.026,0,0.004,0,0,0,0.017,0,0,0,0,0,0,0.009,0,0,0,0,0.001,0,0,0.001,0,0.001,0.004,0.001,0,0.000,0,0,0,0.001,0,0,0,0,0,0,0.003,0,0,0,0
moerashyacint,0.199,0,0,0.013,0.038,0.050,0.007,0.007,0,0.022,0,0,0,0,0.008,0,0.036,0.020,0,0,0,0,0,0,0,0.001,0,0,0.001,0.032,0.009,0.000,0.000,0,0.002,0,0,0,0,0.005,0,0.002,0.001,0,0,0,0,0,0,0
vijfbladige wingerd,0.069,0,0,0,0,0.009,0.028,0.009,0,0,0,0,0,0,0.006,0,0.009,0.004,0,0,0,0.003,0,0,0,0.000,0,0,0,0,0.001,0.001,0.000,0,0,0,0,0,0,0.002,0,0.000,0.000,0,0,0,0.001,0,0,0
valse wingerd,0.091,0,0.005,0,0.010,0.013,0.008,0.015,0,0.012,0,0,0,0.011,0,0,0.004,0,0,0,0.004,0.010,0,0,0,0.001,0,0.001,0,0.014,0.004,0.000,0.002,0,0.002,0,0,0,0.002,0,0,0.000,0,0,0,0.003,0.007,0,0,0
Afghaanse duizendknoop,0.102,0,0,0,0,0,0,0,0,0,0,0,0,0.045,0.015,0,0.032,0,0,0,0,0.009,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.003,0,0.000,0,0,0,0,0.001,0,0,0
grote waterteunisbloem,0.34,0.000,0.007,0.002,0.002,0.002,0.006,0.196,0.001,0.016,0.007,0.001,0.001,0.007,0.001,0,0,0,0,0,0.004,0,0.088,0,0,0.01,0.016,0.005,0.001,0.008,0.002,0.001,0.086,0.005,0.010,0.003,0.000,0.001,0.004,0.004,0,0,0,0,0,0.009,0,0.049,0,0
wasbeer,0.141,0,0,0.010,0,0.025,0.008,0.061,0,0.011,0,0,0,0,0,0,0.008,0.017,0,0,0,0,0,0,0,0.001,0,0,0.001,0,0.004,0.000,0.004,0,0.001,0,0,0,0,0,0,0.000,0.001,0,0,0,0,0,0,0
gele maskerbloem,0.107,0,0,0,0,0.007,0,0.013,0,0.022,0.006,0,0,0.024,0.006,0,0.007,0.015,0,0,0.006,0,0,0,0,0.001,0,0,0,0,0.001,0,0.001,0,0.003,0.000,0,0,0.002,0.004,0,0.000,0.001,0,0,0.003,0,0,0,0
rode Amerikaanse rivierkreeft,0.206,0,0,0,0,0,0.001,0,0.005,0.014,0,0.179,0,0,0,0,0,0,0,0,0,0,0,0.007,0,0.002,0,0,0,0,0,0.000,0,0.005,0.003,0,0.015,0,0,0,0,0,0,0,0,0,0,0,0.003,0
marmergrondel,0.204,0,0,0,0,0,0.077,0,0,0,0,0,0,0.127,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0.001,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0
kleine waterteunisbloem,0.550,0,0,0,0,0.033,0,0,0,0,0.489,0,0,0,0,0,0,0,0,0.028,0,0,0,0,0,0.001,0,0,0,0,0.001,0,0,0,0,0.007,0,0,0,0,0,0,0,0,0.014,0,0,0,0,0
egeria,0.053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0
ongelijkbladig vederkruid,0.034,0,0,0.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aziatische boomwurger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zijdeplant,0.035,0,0,0,0,0,0,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
waterhyacint,0.183,0,0,0,0,0,0,0,0,0,0.092,0,0.092,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0.000,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0
watersla,0.079,0,0,0,0,0,0.027,0.027,0,0.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0.000,0.000,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Californische rivierkreeft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gestreepte Amerikaanse rivierkreeft,0.38,0,0.011,0,0,0.315,0,0,0,0,0.051,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0.00,0,0.000,0,0,0.015,0,0,0,0,0.001,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0
Kaapse waterlelie,0.537,0,0,0,0,0,0,0.537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grijze eekhoorn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mantsjoerese wilde rijst,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pallas' eekhoorn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moerasaronskelk,0.099,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059,0,0.039,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012,0,0.001,0,0,0,0,0,0,0,0
waterwaaier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chinese moerasslak,0.5,0,0,0,0,0.500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kesslergrondel,0.083,0,0,0,0,0,0.083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wasbeerhond,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aziatische hoornaar (soort),0.013,0,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0,0.000,0.001,0.003,0.001,0.000,0.000,0.008,0,0.001,0.001,0.003,0.007,0.001,0.011,0.011,0.052,0.001,0.002,0.004,0.002,0.023,0.005,0.007,0.004,0,0.009,0.027,0.152,0.011,0.007,0.003
Leidse plant,0.232,0,0,0,0,0,0,0,0,0.099,0,0,0,0,0.133,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0
treurmaina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moerasanemoon,0.039,0,0,0,0,0,0,0,0,0.026,0,0,0,0,0.013,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0
Turkse rivierkreeft,0.187,0,0,0,0,0,0,0,0,0,0,0.187,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0
marmerkreeft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sikahert,0.655,0,0,0,0,0.629,0.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0.030,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amerikaanse voseekhoorn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gewone gunnera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noord-Aziatische modderkruiper,1,0,0,0,0,0,1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Japans steltgras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
