soort,species,abbr,gebied,overlap,type
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,VGLRL,0.444842,in
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,VGLRL,0.003262,of
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,VGLRL,6.170997,sel
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2100424,0.000596,in
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2100424,0.004986,of
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2100424,9.433640,sel
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2101437,0.004359,in
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2101437,0.000764,of
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2101437,1.445537,sel
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2101538,0.030634,in
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2101538,0.003118,of
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2101538,5.899498,sel
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2200626, 0.008718,in
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2200626, 0.011104,of
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2200626,21.007917,sel
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2219312, 0.088058,in
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2219312, 0.024746,of
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2219312,46.816626,sel
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2221314,0.020535,in
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2221314,0.001127,of
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2221314,2.132273,sel
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2223316, 0.138724,in
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2223316, 0.015476,of
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2223316,29.280004,sel
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2301134,0.001968,in
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2301134,0.001814,of
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2301134,3.432714,sel
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2301235,0.019661,in
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2301235,0.003380,of
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2301235,6.394397,sel
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2301336, 0.122871,in
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2301336, 0.012492,of
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2301336,23.633767,sel
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2500932,0.008718,in
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2500932,0.000643,of
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2500932,1.216675,sel
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2100323,0,in
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2100323,0,of
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2100323,0,sel
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2101639,0,in
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2101639,0,of
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2101639,0,sel
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2200525,0,in
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2200525,0,of
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2200525,0,sel
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2200727,0,in
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2200727,0,of
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2200727,0,sel
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2217310,0,in
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2217310,0,of
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2217310,0,sel
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2218311,0,in
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2218311,0,of
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2218311,0,sel
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2220313,0,in
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2220313,0,of
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2220313,0,sel
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2300222,0,in
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2300222,0,of
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2300222,0,sel
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2422315,0,in
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2422315,0,of
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2422315,0,sel
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2500121,0,in
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2500121,0,of
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2500121,0,sel
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2500831,0,in
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2500831,0,of
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2500831,0,sel
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2501033,0,in
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2501033,0,of
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2501033,0,sel
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2524317,0,in
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2524317,0,of
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2524317,0,sel
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,VGLRL,0.160088,in
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,VGLRL,0.179328,of
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,VGLRL,2.220797,sel
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,BE2100323,0.004090,in
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,BE2100323,0.206147,of
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,BE2100323,2.552931,sel
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,BE2100424,0.000503,in
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,BE2100424,0.642603,of
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,BE2100424,7.958004,sel
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,BE2101437,0.005431,in
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,BE2101437,0.145415,of
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,BE2101437,1.800816,sel
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,BE2101538,0.009497,in
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,BE2101538,0.147687,of
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,BE2101538,1.828950,sel
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,BE2101639,0.003730,in
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,BE2101639,0.075848,of
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,BE2101639,0.939300,sel
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,BE2200525,0.001250,in
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,BE2200525,0.175418,of
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,BE2200525,2.172373,sel
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,BE2200626,0.001336,in
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,BE2200626,0.259873,of
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,BE2200626,3.218265,sel
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,BE2200727,0.003104,in
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,BE2200727,0.145736,of
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,BE2200727,1.804795,sel
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,BE2217310,0.002072,in
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,BE2217310,0.023115,of
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,BE2217310,0.286258,sel
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,BE2218311,0.002155,in
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,BE2218311,0.026677,of
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,BE2218311,0.330363,sel
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,BE2219312,0.004982,in
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,BE2219312,0.213896,of
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,BE2219312,2.648893,sel
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,BE2220313,0.001869,in
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,BE2220313,0.072131,of
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,BE2220313,0.893276,sel
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,BE2221314,0.012932,in
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,BE2221314,0.108433,of
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,BE2221314,1.342835,sel
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,BE2223316,0.017617,in
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,BE2223316,0.300261,of
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,BE2223316,3.718435,sel
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,BE2300222,0.001036,in
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,BE2300222,0.592885,of
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,BE2300222,7.342289,sel
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,BE2301134,0.004545,in
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,BE2301134,0.640017,of
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,BE2301134,7.925976,sel
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,BE2301235,0.015055,in
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,BE2301235,0.395385,of
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,BE2301235,4.896449,sel
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,BE2301336,0.015710,in
