soort,species,abbr,gebied,overlap,type
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,VL,0.000537,of
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,VL,0.084041,of
rimpelroos,Rosa rugosa Thunb.,Rr,VL,0.006286,of
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,VL,0.033618,of
reuzenberenklauw,Heracleum mantegazzianum Sommier & Levier,Hm,VL,0.007911,of
Canadese gans,"Branta canadensis (Linnaeus, 1758)",Bc,VL,0.057652,of
verspreidbladige waterpest,Lagarosiphon major (Ridley) Moss,Lm,VL,0.000046,of
zonnebaars,"Lepomis gibbosus Linnaeus, 1758",Lgi,VL,0.000996,of
rosse stekelstaart,"Oxyura jamaicensis Gmelin, 1789",Oj,VL,0.000304,of
sneeuwbes,Symphoricarpos albus (L.) K.Koch,Sa,VL,0.004415,of
parelvederkruid,Myriophyllum aquaticum (Vell.) Verdc.,Mya,VL,0.00107,of
late guldenroede,Solidago gigantea Aiton,Sg,VL,0.00925,of
smalle waterpest,Elodea nuttallii (Planch.) St. John,En,VL,0.001225,of
mahonie,Mahonia aquifolium (Pursh) Nutt.,Maa,VL,0.005439,of
grote waternavel,Hydrocotyle ranunculoides L. f.,Hr,VL,0.001987,of
Chinese muntjak,"Muntiacus reevesi Ogilby, 1839",Mr,VL,0.00047,of
Japans hoefblad,Petasites japonicus (Siebold & Zucc.) Maxim.,Pj,VL,0.000232,of
hemelboom,Ailanthus altissima (Mill.) Swingle,Aal,VL,0.002318,of
Amerikaanse nerts,"Mustela vison Schreber, 1777",Mvis,VL,0.00008,of
Amerikaanse hondsvis,"Umbra pygmaea (DeKay, 1842)",Up,VL,0.000152,of
Chinese wolhandkrab,"Eriocheir sinensis H. Milne Edwards, 1854",Es,VL,0.001623,of
invasieve duizendknopen,"Reynoutria japonica Houtt.,Reynoutria sachalinensis (F.Schmidt) Nakai,Reynoutria ×bohemica Chrtek & Chrtková",Rj,VL,0.020531,of
Siberische grondeekhoorn,"Tamias sibiricus Laxmann, 1769",Tsi,VL,0.000195,of
boksdoorn,Lycium barbarum L.,Lb,VL,0.000788,of
muskusrat,"Ondatra zibethicus Linnaeus, 1766",Oz,VL,0.011988,of
lettersierschildpad,"Trachemys scripta Schoepff, 1792",Tsc,VL,0.002408,of
smalle olijfwilg,Elaeagnus angustifolia L.,Ea,VL,0.000638,of
watercrassula,Crassula helmsii (Kirk) Cockayne,Ch,VL,0.002124,of
Canadese guldenroede,Solidago canadensis L.,Sc,VL,0.001736,of
reuzenbalsemien,Impatiens glandulifera Royle,Ig,VL,0.01683,of
Chinese prachtslang,"Elaphe taeniura (Cope, 1861)",Et,VL,0.000084,of
gevlekte Amerikaanse rivierkreeft,"Faxonius limosus Rafinesque, 1817",Fl,VL,0.000726,of
blauwbandgrondel,"Pseudorasbora parva Temminck & Schlegel, 1846",Pp,VL,0.000852,of
struikaster,Baccharis halimifolia L.,Bh,VL,0.000408,of
zwartbekgrondel,"Neogobius melanostomus (Pallas, 1814)",Nm,VL,0.000505,of
Amerikaanse stierkikker,"Lithobates (Rana) catesbeianus Shaw, 1802",Lc,VL,0.000677,of
beverrat,"Myocastor coypus Molina, 1782",Mc,VL,0.000276,of
moerashyacint,Pontederia cordata L.,Pco,VL,0.000399,of
vijfbladige wingerd,Parthenocissus quinquefolia (L.) Planch.,Pq,VL,0.000258,of
valse wingerd,Parthenocissus inserta (A.Kern.) Fritsch,Pi,VL,0.00056,of
Afghaanse duizendknoop,Koenigia polystachya (Wall. ex Meisn.) T.M.Schust. & Reveal,Kp,VL,0.000097,of
grote waterteunisbloem,Ludwigia grandiflora (Michx.) Greuter & Burdet,Lgr,VL,0.002237,of
wasbeer,"Procyon lotor L., 1758",Plo,VL,0.000328,of
